,Airline,Journey_date,From,To,Dtime,Atime,Stops,Price
1361,IndiGo,18/10/2021,Goa,Kolkata,11:15,19:15,1 stop via Hyderabad,12146.0
1362,IndiGo,18/10/2021,Goa,Kolkata,14:40,21:30,1 stop via Hyderabad,12146.0
1363,IndiGo,18/10/2021,Goa,Kolkata,16:25,00:20,1 stop via Bengaluru,12146.0
1364,IndiGo,18/10/2021,Goa,Kolkata,08:20,13:55,1 stop via Bengaluru,12792.0
1365,IndiGo,18/10/2021,Goa,Kolkata,09:30,15:35,1 stop via Bengaluru,12792.0
1366,IndiGo,18/10/2021,Goa,Kolkata,21:50,04:50,1 stop via New Delhi,12792.0
1367,IndiGo,18/10/2021,Goa,Kolkata,12:10,17:50,1 stop via Bengaluru,13438.0
1368,IndiGo,18/10/2021,Goa,Kolkata,13:00,20:25,1 stop via Bengaluru,13438.0
1369,IndiGo,18/10/2021,Goa,Kolkata,09:00,15:55,1 stop via Hyderabad,14084.0
1370,IndiGo,18/10/2021,Goa,Kolkata,09:15,16:25,1 stop via Mumbai,14084.0
1371,IndiGo,18/10/2021,Goa,Kolkata,16:25,22:05,1 stop via Bengaluru,14729.0
1372,Vistara,18/10/2021,Goa,Kolkata,12:15,19:45,1 stop via Mumbai,16185.0
1373,IndiGo,18/10/2021,Goa,Kolkata,14:50,17:55,Non stop,16236.0
1374,Spicejet,18/10/2021,Goa,Kolkata,16:30,19:35,Non stop,16551.0
1375,AirAsia,18/10/2021,Goa,Kolkata,15:30,19:25,1 stop via Hyderabad,16762.0
1376,IndiGo,18/10/2021,Goa,Kolkata,17:55,23:20,1 stop via Chennai,16892.0
1377,IndiGo,18/10/2021,Goa,Kolkata,18:05,22:40,1 stop via Hyderabad,17601.0
1378,Air India,18/10/2021,Goa,Kolkata,15:20,23:15,1 stop via Mumbai,19072.0
1379,Go First,18/10/2021,Goa,Kolkata,15:40,21:55,"2 stop via Ahmedabad,Jaipur",24716.0
1380,AirAsia,19/10/2021,Goa,Kolkata,15:30,20:50,1 stop via Hyderabad,8674.0
1381,AirAsia,19/10/2021,Goa,Kolkata,15:30,19:25,1 stop via Hyderabad,7622.0
1382,AirAsia,19/10/2021,Goa,Kolkata,17:05,21:20,1 stop via Bengaluru,7622.0
1383,Spicejet,19/10/2021,Goa,Kolkata,14:00,16:35,Non stop,7625.0
1384,AirAsia,19/10/2021,Goa,Kolkata,15:05,21:40,1 stop via New Delhi,8674.0
1385,AirAsia,19/10/2021,Goa,Kolkata,16:35,23:30,1 stop via New Delhi,8674.0
1386,AirAsia,19/10/2021,Goa,Kolkata,15:30,19:25,1 stop via Hyderabad,8852.0
1387,IndiGo,19/10/2021,Goa,Kolkata,19:50,04:15,1 stop via Mumbai,8918.0
1388,AirAsia,19/10/2021,Goa,Kolkata,13:35,19:25,1 stop via Hyderabad,9410.0
1389,IndiGo,19/10/2021,Goa,Kolkata,09:00,19:15,1 stop via Hyderabad,9563.0
1390,Spicejet,19/10/2021,Goa,Kolkata,11:50,14:20,Non stop,9935.0
1391,IndiGo,19/10/2021,Goa,Kolkata,09:30,15:35,1 stop via Bengaluru,10209.0
1392,IndiGo,19/10/2021,Goa,Kolkata,08:20,15:35,1 stop via Bengaluru,10209.0
1393,IndiGo,19/10/2021,Goa,Kolkata,11:15,19:15,1 stop via Hyderabad,10209.0
1394,AirAsia,19/10/2021,Goa,Kolkata,07:55,20:50,"2 stop via Mumbai,Hyderabad",10354.0
1395,IndiGo,19/10/2021,Goa,Kolkata,12:10,22:05,1 stop via Bengaluru,11501.0
1396,AirAsia,19/10/2021,Goa,Kolkata,17:05,01:35,1 stop via Bengaluru,11823.0
1397,IndiGo,19/10/2021,Goa,Kolkata,08:20,13:55,1 stop via Bengaluru,11931.0
1398,IndiGo,19/10/2021,Goa,Kolkata,14:40,21:30,1 stop via Hyderabad,12146.0
1399,IndiGo,19/10/2021,Goa,Kolkata,13:00,22:05,1 stop via Bengaluru,12146.0
1400,IndiGo,19/10/2021,Goa,Kolkata,13:25,23:10,1 stop via New Delhi,12146.0
1401,IndiGo,19/10/2021,Goa,Kolkata,12:10,17:50,1 stop via Bengaluru,12771.0
1402,IndiGo,19/10/2021,Goa,Kolkata,16:25,22:05,1 stop via Bengaluru,12792.0
1403,IndiGo,19/10/2021,Goa,Kolkata,15:25,00:25,1 stop via Ahmedabad,12792.0
1404,IndiGo,19/10/2021,Goa,Kolkata,19:50,02:05,1 stop via Mumbai,12792.0
1405,IndiGo,19/10/2021,Goa,Kolkata,13:00,20:25,1 stop via Bengaluru,13401.0
1406,IndiGo,19/10/2021,Goa,Kolkata,09:00,15:55,1 stop via Hyderabad,13438.0
1407,IndiGo,19/10/2021,Goa,Kolkata,17:55,00:30,1 stop via Chennai,13769.0
1408,Go First,19/10/2021,Goa,Kolkata,12:10,19:55,1 stop via Bengaluru,13948.0
1409,IndiGo,19/10/2021,Goa,Kolkata,21:50,04:50,1 stop via New Delhi,14729.0
1410,AirAsia,19/10/2021,Goa,Kolkata,18:55,01:40,"2 stop via Mumbai,Bengaluru",15581.0
1411,IndiGo,19/10/2021,Goa,Kolkata,14:50,17:55,Non stop,16236.0
1412,AirAsia,19/10/2021,Goa,Kolkata,17:05,21:20,1 stop via Bengaluru,16762.0
1413,Go First,19/10/2021,Goa,Kolkata,15:40,21:55,"2 stop via Ahmedabad,Jaipur",17484.0
1414,Vistara,19/10/2021,Goa,Kolkata,09:15,19:15,"2 stop via Mumbai,Bhubaneswar",18757.0
1415,Air India,19/10/2021,Goa,Kolkata,07:30,19:10,"2 stop via Mumbai,New Delhi",26632.0
1416,AirAsia,20/10/2021,Goa,Kolkata,07:55,19:20,1 stop via Mumbai,7622.0
1417,AirAsia,20/10/2021,Goa,Kolkata,15:30,19:25,1 stop via Hyderabad,7622.0
1418,Go First,20/10/2021,Goa,Kolkata,12:10,19:55,1 stop via Bengaluru,7622.0
1419,AirAsia,20/10/2021,Goa,Kolkata,17:05,21:20,1 stop via Bengaluru,7622.0
1420,AirAsia,20/10/2021,Goa,Kolkata,07:35,21:20,1 stop via Bengaluru,7622.0
1421,AirAsia,20/10/2021,Goa,Kolkata,15:05,21:40,1 stop via New Delhi,7622.0
1422,AirAsia,20/10/2021,Goa,Kolkata,16:35,23:30,1 stop via New Delhi,7622.0
1423,AirAsia,20/10/2021,Goa,Kolkata,15:30,01:05,1 stop via Hyderabad,7622.0
1424,AirAsia,20/10/2021,Goa,Kolkata,17:05,01:35,1 stop via Bengaluru,7622.0
1425,Spicejet,20/10/2021,Goa,Kolkata,14:00,16:35,Non stop,7625.0
1426,IndiGo,20/10/2021,Goa,Kolkata,08:20,13:55,1 stop via Bengaluru,7626.0
1427,IndiGo,20/10/2021,Goa,Kolkata,09:30,15:35,1 stop via Bengaluru,7626.0
1428,IndiGo,20/10/2021,Goa,Kolkata,13:10,22:20,1 stop via Mumbai,7626.0
1429,Spicejet,20/10/2021,Goa,Kolkata,09:15,18:05,1 stop via Mumbai,7941.0
1430,IndiGo,20/10/2021,Goa,Kolkata,12:10,17:50,1 stop via Bengaluru,8272.0
1431,IndiGo,20/10/2021,Goa,Kolkata,10:40,19:10,1 stop via Nagpur,8272.0
1432,IndiGo,20/10/2021,Goa,Kolkata,13:10,20:05,1 stop via Mumbai,8272.0
1433,IndiGo,20/10/2021,Goa,Kolkata,12:00,20:05,1 stop via Mumbai,8272.0
1434,IndiGo,20/10/2021,Goa,Kolkata,16:30,22:20,1 stop via Mumbai,8272.0
1435,AirAsia,20/10/2021,Goa,Kolkata,18:55,01:40,"2 stop via Mumbai,Bengaluru",8990.0
1436,AirAsia,20/10/2021,Goa,Kolkata,13:35,19:25,1 stop via Hyderabad,9410.0
1437,IndiGo,20/10/2021,Goa,Kolkata,13:00,20:25,1 stop via Bengaluru,9563.0
1438,IndiGo,20/10/2021,Goa,Kolkata,14:40,21:30,1 stop via Hyderabad,9563.0
1439,Spicejet,20/10/2021,Goa,Kolkata,16:30,19:35,Non stop,9935.0
1440,IndiGo,20/10/2021,Goa,Kolkata,10:55,16:25,1 stop via Mumbai,10209.0
1441,Go First,20/10/2021,Goa,Kolkata,15:40,21:55,"2 stop via Ahmedabad,Jaipur",10651.0
1442,IndiGo,20/10/2021,Goa,Kolkata,09:00,15:55,1 stop via Hyderabad,10724.0
1443,Vistara,20/10/2021,Goa,Kolkata,13:20,19:45,1 stop via Mumbai,11407.0
1444,IndiGo,20/10/2021,Goa,Kolkata,16:25,22:05,1 stop via Bengaluru,11511.0
1445,IndiGo,20/10/2021,Goa,Kolkata,17:55,23:20,1 stop via Chennai,12194.0
1446,Air India,20/10/2021,Goa,Kolkata,15:20,23:15,1 stop via Mumbai,14347.0
1447,IndiGo,20/10/2021,Goa,Kolkata,14:50,17:55,Non stop,14451.0
1448,AirAsia,21/10/2021,Goa,Kolkata,15:30,19:25,1 stop via Hyderabad,7622.0
1449,AirAsia,21/10/2021,Goa,Kolkata,13:35,19:25,1 stop via Hyderabad,7622.0
1450,Go First,21/10/2021,Goa,Kolkata,12:10,19:55,1 stop via Bengaluru,7622.0
1451,AirAsia,21/10/2021,Goa,Kolkata,16:35,23:30,1 stop via New Delhi,7622.0
1452,AirAsia,21/10/2021,Goa,Kolkata,15:05,23:30,1 stop via New Delhi,7622.0
1453,Go First,21/10/2021,Goa,Kolkata,16:15,00:05,1 stop via Mumbai,7622.0
1454,Go First,21/10/2021,Goa,Kolkata,14:25,00:05,1 stop via Mumbai,7622.0
1455,Go First,21/10/2021,Goa,Kolkata,11:45,00:05,1 stop via Mumbai,7622.0
1456,AirAsia,21/10/2021,Goa,Kolkata,17:05,01:35,1 stop via Bengaluru,7622.0
1457,AirAsia,21/10/2021,Goa,Kolkata,13:35,01:35,"2 stop via Hyderabad,Bengaluru",7622.0
1458,AirAsia,21/10/2021,Goa,Kolkata,18:55,01:40,"2 stop via Mumbai,Bengaluru",7622.0
1459,Spicejet,21/10/2021,Goa,Kolkata,15:45,22:30,1 stop via Bengaluru,7625.0
1460,IndiGo,21/10/2021,Goa,Kolkata,08:20,13:55,1 stop via Bengaluru,7626.0
1461,IndiGo,21/10/2021,Goa,Kolkata,09:30,15:35,1 stop via Bengaluru,7626.0
1462,IndiGo,21/10/2021,Goa,Kolkata,09:00,15:55,1 stop via Hyderabad,7626.0
1463,IndiGo,21/10/2021,Goa,Kolkata,09:25,17:10,1 stop via New Delhi,7626.0
1464,IndiGo,21/10/2021,Goa,Kolkata,12:10,17:50,1 stop via Bengaluru,7626.0
1465,IndiGo,21/10/2021,Goa,Kolkata,11:15,19:15,1 stop via Hyderabad,7626.0
1466,IndiGo,21/10/2021,Goa,Kolkata,13:00,20:25,1 stop via Bengaluru,7626.0
1467,IndiGo,21/10/2021,Goa,Kolkata,14:40,21:30,1 stop via Hyderabad,7626.0
1468,IndiGo,21/10/2021,Goa,Kolkata,16:25,22:05,1 stop via Bengaluru,7626.0
1469,IndiGo,21/10/2021,Goa,Kolkata,18:05,22:40,1 stop via Hyderabad,7626.0
1470,IndiGo,21/10/2021,Goa,Kolkata,19:50,02:05,1 stop via Mumbai,7626.0
1471,IndiGo,21/10/2021,Goa,Kolkata,18:30,02:05,1 stop via Mumbai,7626.0
1472,IndiGo,21/10/2021,Goa,Kolkata,16:30,02:05,1 stop via Mumbai,7626.0
1473,IndiGo,21/10/2021,Goa,Kolkata,21:50,04:50,1 stop via New Delhi,7626.0
1474,Spicejet,21/10/2021,Goa,Kolkata,16:10,18:40,Non stop,7731.0
1475,IndiGo,21/10/2021,Goa,Kolkata,18:30,00:20,1 stop via Mumbai,8272.0
1476,IndiGo,21/10/2021,Goa,Kolkata,16:30,00:20,1 stop via Mumbai,8272.0
1477,IndiGo,21/10/2021,Goa,Kolkata,14:50,17:55,Non stop,8991.0
1478,Go First,21/10/2021,Goa,Kolkata,15:40,21:55,"2 stop via Ahmedabad,Jaipur",10651.0
1479,Vistara,21/10/2021,Goa,Kolkata,11:35,19:35,1 stop via New Delhi,12682.0
1480,Air India,21/10/2021,Goa,Kolkata,07:30,14:25,"2 stop via Mumbai,Bengaluru",13087.0
1481,AirAsia,22/10/2021,Goa,Kolkata,07:55,19:20,1 stop via Mumbai,7622.0
1482,AirAsia,22/10/2021,Goa,Kolkata,15:30,19:25,1 stop via Hyderabad,7622.0
1483,AirAsia,22/10/2021,Goa,Kolkata,13:35,19:25,1 stop via Hyderabad,7622.0
1484,Go First,22/10/2021,Goa,Kolkata,12:10,19:55,1 stop via Bengaluru,7622.0
1485,Go First,22/10/2021,Goa,Kolkata,16:15,23:40,1 stop via Mumbai,7622.0
1486,Go First,22/10/2021,Goa,Kolkata,14:25,23:40,1 stop via Mumbai,7622.0
1487,Go First,22/10/2021,Goa,Kolkata,11:45,23:40,1 stop via Mumbai,7622.0
1488,AirAsia,22/10/2021,Goa,Kolkata,15:30,01:05,1 stop via Hyderabad,7622.0
1489,AirAsia,22/10/2021,Goa,Kolkata,17:05,01:35,1 stop via Bengaluru,7622.0
1490,AirAsia,22/10/2021,Goa,Kolkata,13:35,01:35,"2 stop via Hyderabad,Bengaluru",7622.0
1491,AirAsia,22/10/2021,Goa,Kolkata,18:55,01:40,"2 stop via Mumbai,Bengaluru",7622.0
1492,Spicejet,22/10/2021,Goa,Kolkata,14:00,16:35,Non stop,7625.0
1493,Spicejet,22/10/2021,Goa,Kolkata,16:30,19:35,Non stop,7625.0
1494,IndiGo,22/10/2021,Goa,Kolkata,14:50,17:55,Non stop,7626.0
1495,IndiGo,22/10/2021,Goa,Kolkata,08:20,13:55,1 stop via Bengaluru,7626.0
1496,IndiGo,22/10/2021,Goa,Kolkata,09:30,15:35,1 stop via Bengaluru,7626.0
1497,IndiGo,22/10/2021,Goa,Kolkata,09:00,15:55,1 stop via Hyderabad,7626.0
1498,IndiGo,22/10/2021,Goa,Kolkata,10:55,16:25,1 stop via Mumbai,7626.0
1499,IndiGo,22/10/2021,Goa,Kolkata,12:10,17:50,1 stop via Bengaluru,7626.0
1500,IndiGo,22/10/2021,Goa,Kolkata,12:10,19:50,1 stop via New Delhi,7626.0
1501,IndiGo,22/10/2021,Goa,Kolkata,13:00,20:25,1 stop via Bengaluru,7626.0
1502,IndiGo,22/10/2021,Goa,Kolkata,14:40,21:30,1 stop via Hyderabad,7626.0
1503,IndiGo,22/10/2021,Goa,Kolkata,16:25,22:05,1 stop via Bengaluru,7626.0
1504,IndiGo,22/10/2021,Goa,Kolkata,16:30,22:20,1 stop via Mumbai,7626.0
1505,IndiGo,22/10/2021,Goa,Kolkata,18:05,22:40,1 stop via Hyderabad,7626.0
1506,IndiGo,22/10/2021,Goa,Kolkata,17:55,23:20,1 stop via Chennai,7626.0
1507,Vistara,22/10/2021,Goa,Kolkata,13:20,19:45,1 stop via Mumbai,9915.0
1508,Go First,22/10/2021,Goa,Kolkata,15:40,21:55,"2 stop via Ahmedabad,Jaipur",11748.0
1509,Air India,22/10/2021,Goa,Kolkata,15:20,23:15,1 stop via Mumbai,13717.0
1510,Go First,23/10/2021,Goa,Kolkata,12:10,19:55,1 stop via Bengaluru,7622.0
1511,AirAsia,23/10/2021,Goa,Kolkata,13:35,20:50,1 stop via Hyderabad,7622.0
1512,AirAsia,23/10/2021,Goa,Kolkata,09:55,20:50,"2 stop via Mumbai,Hyderabad",7622.0
1513,AirAsia,23/10/2021,Goa,Kolkata,07:55,20:50,"2 stop via Mumbai,Hyderabad",7622.0
1514,AirAsia,23/10/2021,Goa,Kolkata,17:05,21:20,1 stop via Bengaluru,7622.0
1515,AirAsia,23/10/2021,Goa,Kolkata,07:35,21:20,1 stop via Bengaluru,7622.0
1516,AirAsia,23/10/2021,Goa,Kolkata,15:05,21:40,1 stop via New Delhi,7622.0
1517,AirAsia,23/10/2021,Goa,Kolkata,16:35,23:30,1 stop via New Delhi,7622.0
1518,AirAsia,23/10/2021,Goa,Kolkata,17:05,01:35,1 stop via Bengaluru,7622.0
1519,AirAsia,23/10/2021,Goa,Kolkata,18:55,01:40,"2 stop via Mumbai,Bengaluru",7622.0
1520,IndiGo,23/10/2021,Goa,Kolkata,08:20,13:55,1 stop via Bengaluru,7626.0
1521,IndiGo,23/10/2021,Goa,Kolkata,09:30,15:35,1 stop via Bengaluru,7626.0
1522,IndiGo,23/10/2021,Goa,Kolkata,09:00,15:55,1 stop via Hyderabad,7626.0
1523,IndiGo,23/10/2021,Goa,Kolkata,09:25,17:10,1 stop via New Delhi,7626.0
1524,IndiGo,23/10/2021,Goa,Kolkata,12:10,17:50,1 stop via Bengaluru,7626.0
1525,IndiGo,23/10/2021,Goa,Kolkata,12:10,19:50,1 stop via New Delhi,7626.0
1526,IndiGo,23/10/2021,Goa,Kolkata,13:00,20:25,1 stop via Bengaluru,7626.0
1527,IndiGo,23/10/2021,Goa,Kolkata,14:40,21:30,1 stop via Hyderabad,7626.0
1528,IndiGo,23/10/2021,Goa,Kolkata,16:25,22:05,1 stop via Bengaluru,7626.0
1529,IndiGo,23/10/2021,Goa,Kolkata,21:50,04:50,1 stop via New Delhi,7626.0
1530,Spicejet,23/10/2021,Goa,Kolkata,16:10,18:40,Non stop,7731.0
1531,IndiGo,23/10/2021,Goa,Kolkata,18:05,22:40,1 stop via Hyderabad,10855.0
1532,Vistara,23/10/2021,Goa,Kolkata,11:35,19:35,1 stop via New Delhi,13396.0
1533,IndiGo,23/10/2021,Goa,Kolkata,14:50,17:55,Non stop,13611.0
1534,Go First,23/10/2021,Goa,Kolkata,15:40,21:55,"2 stop via Ahmedabad,Jaipur",15090.0
1535,Air India,23/10/2021,Goa,Kolkata,07:30,16:00,"2 stop via Mumbai,Bhubaneswar",16027.0
1536,AirAsia,24/10/2021,Goa,Kolkata,07:55,20:50,"2 stop via Mumbai,Hyderabad",7622.0
1537,AirAsia,24/10/2021,Goa,Kolkata,07:35,21:20,1 stop via Bengaluru,7622.0
1538,AirAsia,24/10/2021,Goa,Kolkata,15:05,21:40,1 stop via New Delhi,7622.0
1539,AirAsia,24/10/2021,Goa,Kolkata,08:20,21:40,1 stop via New Delhi,7622.0
1540,AirAsia,24/10/2021,Goa,Kolkata,16:35,23:30,1 stop via New Delhi,7622.0
1541,IndiGo,24/10/2021,Goa,Kolkata,12:15,15:05,Non stop,7626.0
1542,IndiGo,24/10/2021,Goa,Kolkata,08:20,13:55,1 stop via Bengaluru,7626.0
1543,IndiGo,24/10/2021,Goa,Kolkata,09:25,17:10,1 stop via New Delhi,7626.0
1544,IndiGo,24/10/2021,Goa,Kolkata,21:50,04:50,1 stop via New Delhi,7626.0
1545,IndiGo,24/10/2021,Goa,Kolkata,21:40,08:45,1 stop via Ahmedabad,7626.0
1546,IndiGo,24/10/2021,Goa,Kolkata,15:20,22:00,1 stop via New Delhi,8272.0
1547,IndiGo,24/10/2021,Goa,Kolkata,14:50,17:55,Non stop,8361.0
1548,IndiGo,24/10/2021,Goa,Kolkata,09:30,15:35,1 stop via Bengaluru,8918.0
1549,IndiGo,24/10/2021,Goa,Kolkata,12:10,20:25,1 stop via Bengaluru,8918.0
1550,IndiGo,24/10/2021,Goa,Kolkata,11:15,21:30,1 stop via Hyderabad,8918.0
1551,IndiGo,24/10/2021,Goa,Kolkata,13:25,22:00,1 stop via New Delhi,8918.0
1552,IndiGo,24/10/2021,Goa,Kolkata,12:10,22:00,1 stop via New Delhi,8918.0
1553,IndiGo,24/10/2021,Goa,Kolkata,16:25,22:05,1 stop via Bengaluru,8918.0
1554,Spicejet,24/10/2021,Goa,Kolkata,16:10,18:40,Non stop,8991.0
1555,AirAsia,24/10/2021,Goa,Kolkata,15:30,20:50,1 stop via Hyderabad,9410.0
1556,AirAsia,24/10/2021,Goa,Kolkata,15:30,19:25,1 stop via Hyderabad,9522.0
1557,AirAsia,24/10/2021,Goa,Kolkata,13:35,19:25,1 stop via Hyderabad,9830.0
1558,IndiGo,24/10/2021,Goa,Kolkata,13:25,19:50,1 stop via New Delhi,10209.0
1559,IndiGo,24/10/2021,Goa,Kolkata,19:50,04:15,1 stop via Mumbai,10209.0
1560,AirAsia,24/10/2021,Goa,Kolkata,17:05,21:20,1 stop via Bengaluru,11174.0
1561,IndiGo,24/10/2021,Goa,Kolkata,12:10,17:50,1 stop via Bengaluru,11501.0
1562,IndiGo,24/10/2021,Goa,Kolkata,12:10,19:50,1 stop via New Delhi,11501.0
1563,IndiGo,24/10/2021,Goa,Kolkata,14:40,21:30,1 stop via Hyderabad,11501.0
1564,IndiGo,24/10/2021,Goa,Kolkata,18:05,22:40,1 stop via Hyderabad,11501.0
1565,IndiGo,24/10/2021,Goa,Kolkata,19:50,02:05,1 stop via Mumbai,11501.0
1566,Vistara,24/10/2021,Goa,Kolkata,11:35,19:35,1 stop via New Delhi,14288.0
1567,Air India,24/10/2021,Goa,Kolkata,07:30,16:00,"2 stop via Mumbai,Bhubaneswar",16657.0
1568,Go First,24/10/2021,Goa,Kolkata,15:40,21:55,"2 stop via Ahmedabad,Jaipur",20177.0
1569,AirAsia,25/10/2021,Goa,Kolkata,07:55,19:20,1 stop via Mumbai,7622.0
1570,AirAsia,25/10/2021,Goa,Kolkata,13:35,19:25,1 stop via Hyderabad,7622.0
1571,Go First,25/10/2021,Goa,Kolkata,12:10,19:55,1 stop via Bengaluru,7622.0
1572,AirAsia,25/10/2021,Goa,Kolkata,17:05,21:20,1 stop via Bengaluru,7622.0
1573,AirAsia,25/10/2021,Goa,Kolkata,07:35,21:20,1 stop via Bengaluru,7622.0
1574,AirAsia,25/10/2021,Goa,Kolkata,15:05,21:40,1 stop via New Delhi,7622.0
1575,AirAsia,25/10/2021,Goa,Kolkata,08:20,21:40,1 stop via New Delhi,7622.0
1576,Go First,25/10/2021,Goa,Kolkata,11:10,23:05,1 stop via New Delhi,7622.0
1577,AirAsia,25/10/2021,Goa,Kolkata,16:35,23:30,1 stop via New Delhi,7622.0
1578,AirAsia,25/10/2021,Goa,Kolkata,17:05,01:35,1 stop via Bengaluru,7622.0
1579,AirAsia,25/10/2021,Goa,Kolkata,15:05,08:35,"2 stop via New Delhi,Guwahati",7622.0
1580,Spicejet,25/10/2021,Goa,Kolkata,14:00,16:35,Non stop,7625.0
1581,Spicejet,25/10/2021,Goa,Kolkata,16:30,19:35,Non stop,7625.0
1582,IndiGo,25/10/2021,Goa,Kolkata,09:30,15:35,1 stop via Bengaluru,7626.0
1583,IndiGo,25/10/2021,Goa,Kolkata,09:25,17:10,1 stop via New Delhi,7626.0
1584,IndiGo,25/10/2021,Goa,Kolkata,12:10,19:50,1 stop via New Delhi,7626.0
1585,IndiGo,25/10/2021,Goa,Kolkata,13:10,20:05,1 stop via Mumbai,7626.0
1586,IndiGo,25/10/2021,Goa,Kolkata,12:00,20:05,1 stop via Mumbai,7626.0
1587,IndiGo,25/10/2021,Goa,Kolkata,15:20,22:00,1 stop via New Delhi,7626.0
1588,IndiGo,25/10/2021,Goa,Kolkata,16:25,22:05,1 stop via Bengaluru,7626.0
1589,IndiGo,25/10/2021,Goa,Kolkata,16:30,22:20,1 stop via Mumbai,7626.0
1590,IndiGo,25/10/2021,Goa,Kolkata,18:05,22:40,1 stop via Hyderabad,7626.0
1591,AirAsia,25/10/2021,Goa,Kolkata,18:55,01:40,"2 stop via Mumbai,Bengaluru",8044.0
1592,IndiGo,25/10/2021,Goa,Kolkata,09:15,16:25,1 stop via Mumbai,8272.0
1593,IndiGo,25/10/2021,Goa,Kolkata,14:50,17:55,Non stop,8361.0
1594,IndiGo,25/10/2021,Goa,Kolkata,13:25,19:50,1 stop via New Delhi,8918.0
1595,AirAsia,25/10/2021,Goa,Kolkata,15:30,19:25,1 stop via Hyderabad,9522.0
1596,IndiGo,25/10/2021,Goa,Kolkata,08:20,13:55,1 stop via Bengaluru,9563.0
1597,Go First,25/10/2021,Goa,Kolkata,15:40,21:55,"2 stop via Ahmedabad,Jaipur",10651.0
1598,Vistara,25/10/2021,Goa,Kolkata,13:20,19:45,1 stop via Mumbai,11407.0
1599,Air India,25/10/2021,Goa,Kolkata,07:30,14:25,"2 stop via Mumbai,Bengaluru",14032.0
1600,AirAsia,26/10/2021,Goa,Kolkata,15:30,19:25,1 stop via Hyderabad,7622.0
1601,AirAsia,26/10/2021,Goa,Kolkata,13:35,19:25,1 stop via Hyderabad,7622.0
1602,Go First,26/10/2021,Goa,Kolkata,12:10,19:55,1 stop via Bengaluru,7622.0
1603,AirAsia,26/10/2021,Goa,Kolkata,15:30,20:50,1 stop via Hyderabad,7622.0
1604,AirAsia,26/10/2021,Goa,Kolkata,17:05,21:20,1 stop via Bengaluru,7622.0
1605,AirAsia,26/10/2021,Goa,Kolkata,15:05,21:40,1 stop via New Delhi,7622.0
1606,Go First,26/10/2021,Goa,Kolkata,17:25,23:05,1 stop via New Delhi,7622.0
1607,AirAsia,26/10/2021,Goa,Kolkata,16:35,23:30,1 stop via New Delhi,7622.0
1608,Go First,26/10/2021,Goa,Kolkata,16:15,00:05,1 stop via Mumbai,7622.0
1609,Go First,26/10/2021,Goa,Kolkata,14:25,00:05,1 stop via Mumbai,7622.0
1610,AirAsia,26/10/2021,Goa,Kolkata,17:05,01:35,1 stop via Bengaluru,7622.0
1611,AirAsia,26/10/2021,Goa,Kolkata,18:55,01:40,"2 stop via Mumbai,Bengaluru",7622.0
1612,Spicejet,26/10/2021,Goa,Kolkata,16:10,18:40,Non stop,7625.0
1613,IndiGo,26/10/2021,Goa,Kolkata,14:50,17:55,Non stop,7626.0
1614,IndiGo,26/10/2021,Goa,Kolkata,08:20,13:55,1 stop via Bengaluru,7626.0
1615,IndiGo,26/10/2021,Goa,Kolkata,09:30,15:35,1 stop via Bengaluru,7626.0
1616,IndiGo,26/10/2021,Goa,Kolkata,12:10,17:50,1 stop via Bengaluru,7626.0
1617,IndiGo,26/10/2021,Goa,Kolkata,13:25,19:50,1 stop via New Delhi,7626.0
1618,IndiGo,26/10/2021,Goa,Kolkata,13:00,20:25,1 stop via Bengaluru,7626.0
1619,IndiGo,26/10/2021,Goa,Kolkata,14:40,21:30,1 stop via Hyderabad,7626.0
1620,IndiGo,26/10/2021,Goa,Kolkata,15:20,22:00,1 stop via New Delhi,7626.0
1621,IndiGo,26/10/2021,Goa,Kolkata,16:25,22:05,1 stop via Bengaluru,7626.0
1622,IndiGo,26/10/2021,Goa,Kolkata,18:05,22:40,1 stop via Hyderabad,7626.0
1623,IndiGo,26/10/2021,Goa,Kolkata,18:30,00:20,1 stop via Mumbai,7626.0
1624,IndiGo,26/10/2021,Goa,Kolkata,17:55,00:30,1 stop via Chennai,7626.0
1625,IndiGo,26/10/2021,Goa,Kolkata,19:50,02:05,1 stop via Mumbai,7626.0
1626,IndiGo,26/10/2021,Goa,Kolkata,21:50,04:50,1 stop via New Delhi,7626.0
1627,Go First,26/10/2021,Goa,Kolkata,15:40,21:55,"2 stop via Ahmedabad,Jaipur",10651.0
1628,Vistara,26/10/2021,Goa,Kolkata,11:35,19:35,1 stop via New Delhi,11343.0
1629,Air India,26/10/2021,Goa,Kolkata,15:25,22:20,1 stop via New Delhi,13612.0
1630,AirAsia,27/10/2021,Goa,Kolkata,15:30,19:25,1 stop via Hyderabad,7622.0
1631,AirAsia,27/10/2021,Goa,Kolkata,13:35,19:25,1 stop via Hyderabad,7622.0
1632,Go First,27/10/2021,Goa,Kolkata,12:10,19:55,1 stop via Bengaluru,7622.0
1633,AirAsia,27/10/2021,Goa,Kolkata,17:05,21:20,1 stop via Bengaluru,7622.0
1634,AirAsia,27/10/2021,Goa,Kolkata,15:05,21:40,1 stop via New Delhi,7622.0
1635,Go First,27/10/2021,Goa,Kolkata,17:25,23:05,1 stop via New Delhi,7622.0
1636,AirAsia,27/10/2021,Goa,Kolkata,16:35,23:30,1 stop via New Delhi,7622.0
